ticker,cnpj,company_name,sector,industry,market_cap,revenue,operating_income,net_income,equity,total_cash,total_debt,roe,operating_margin,profit_margin,debt_to_equity,revenue_growth,earnings_growth,earnings_yield,book_to_price,sales_yield,ev_to_ebit,raw_pe,raw_pb,raw_ev_ebitda,enterprise_value,ebitda,fcf,beta,trailing_eps,book_value_per_share,fundamental_source
ABCB4,,Banco ABC Brasil S.A.,Financial Services,Banks - Regional,5831746048.0,2492614912.0,,1019867008.0,3562779398.64,13162109952.0,18647248896.0,0.14905,0.42564,0.40916002,5.233904996508656,0.122,-0.029,0.2461334890209696,1.2434821329647985,0.427421717524007,,4.062836,0.8041933,,11342530560.0,,,0.191,5.57,28.14,Yahoo Finance
ABEV3,,Ambev S.A.,Consumer Defensive,Beverages - Brewers,227444981760.0,88268292096.0,26785636352.0,16246909952.0,88125291736.11,18346395648.0,2948960000.0,0.184,0.23743,0.18406,0.03346326510703217,0.003,0.246,0.06983050530261434,0.3874576247282275,0.3880863469176942,7.956177434779803,14.320389,2.5809274,7.956,213111275520.0,26785636352.0,19859091456.0,0.262,1.03,5.715,Yahoo Finance
AGRO3,,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,Consumer Defensive,Farm Products,1813001344.0,938744000.0,-153276000.0,-14785000.0,2041021098.473,94033000.0,1443869056.0,-0.0070200004,-0.07334,-0.01575,0.7074248556667238,-0.155,,-0.008154985681025507,1.1257692522021454,0.5177845030874947,,,0.8882815,-20.635,3162837248.0,-153276000.0,-162346256.0,-0.053,-0.16,20.489,Yahoo Finance
ALLD3,,Allied Tecnologia S.A.,Technology,Software - Application,508596160.0,5466923008.0,507750016.0,342337984.0,1568587267.456,290420000.0,487420000.0,0.2181,0.04145,0.06262,0.3107382101797358,-0.031,0.638,0.6584905408163058,3.084151093425629,10.74904499475576,1.2290080636846301,1.5186247,0.32423833,1.229,624028864.0,507750016.0,359893248.0,0.433,3.49,16.346,Yahoo Finance
ALOS3,,Allos S.A.,Real Estate,Real Estate Services,12848625664.0,2976561920.0,2121271040.0,934540992.0,12853626398.5,44899000.0,7262720000.0,0.07586,0.45057,0.31397,0.565032760003632,0.034,0.608,0.07395873679365061,1.0003892514577422,0.2316638368833406,9.504527700524305,13.521053,0.9996109,9.505,20161679360.0,2121271040.0,1275234944.0,0.123,1.9,25.7,Yahoo Finance
ALPA4,,Alpargatas S.A.,Consumer Cyclical,Footwear & Accessories,8680208384.0,4826843136.0,829094976.0,701038016.0,1665849219.816,717699968.0,1401408000.0,0.18084998,0.17097001,0.14524001,0.8412574099322094,0.113,0.928,0.07746479418766156,0.3837245533062475,0.5560745690042641,11.29398193337985,12.90909,2.606036,11.294,9363783680.0,829094976.0,388684128.0,0.545,0.99,4.904,Yahoo Finance
ALUP11,,Alupar Investimento S.A.,Utilities,Utilities - Renewable,14845222912.0,4429787136.0,2895634944.0,1114849024.0,9163956501.666,3771163904.0,14571642880.0,0.12679,0.58217996,0.25167,1.5901038898810669,0.026,-0.338,0.13370714284950244,0.8907722585726585,0.2983981555722698,8.65430603672118,7.479032,1.1226214,8.654,25059710976.0,2895634944.0,212023376.0,0.141,4.173,27.801,Yahoo Finance
AMBP3,,Ambipar Participações e Empreendimentos S.A.,Industrials,Waste Management,250393424.0,7243013120.0,1511120000.0,-102926000.0,1095053931.68,4684887040.0,12038006784.0,-0.01345,0.19054002,-0.01421,10.9930720631555,0.252,,-0.41105712105282766,4.37333326802489,28.92653091400675,5.741618931653343,,0.22865854,5.742,8676275200.0,1511120000.0,270498112.0,0.314,-0.06,0.656,Yahoo Finance
AMER3,,Americanas S.A.,Consumer Cyclical,Internet Retail,748913472.0,13260000256.0,1176000000.0,-62000000.0,4759004512.776,456000000.0,5564000256.0,-0.01454,-0.02362,-0.02112,1.1691521285728796,0.152,,0.703208571943722,6.35454578151572,17.705650588163007,4.983776217687075,1.4220532,0.15736766,4.984,5860920832.0,1176000000.0,-701124992.0,,2.63,23.766,Yahoo Finance
ANIM3,,Ânima Holding S.A.,Consumer Defensive,Education & Training Services,816178048.0,4103977984.0,1232924032.0,134244000.0,2388832216.01,1732163968.0,5916947968.0,0.08737001,0.29108998,0.03271,2.4769207013973182,0.077,0.12,0.16666666666666666,2.9268516836933824,5.02828763167127,4.492332244522264,6.0,0.34166405,4.492,5538704384.0,1232924032.0,246428624.0,0.716,0.36,6.322,Yahoo Finance
