ticker,name,close,change,volume,market_cap,logo,sector,subsector,type,subtype,asset_class,turnover_proxy
SBSP3,CIA SANEAMENTO BASICO EST SAO PAULO,23.79,-2.02,64902700.0,85575686375.0,https://icons.brapi.dev/icons/SBSP3.svg,Utilities,Água e Saneamento,stock,stock,AÇÃO B3,1544035233.0
B3SA3,B3 S.A. - BRASIL. BOLSA. BALCÃO,14.67,-0.88,47156200.0,71905699755.0,https://icons.brapi.dev/icons/B3SA3.svg,Finance,Dados Financeiros e Bolsas de Valores,stock,stock,AÇÃO B3,691781454.0
BBAS3,BCO BRASIL S.A.,18.38,0.93,43575000.0,104139641522.0,https://icons.brapi.dev/icons/BBAS3.svg,Finance,Bancos Diversificados,stock,stock,AÇÃO B3,800908500.0
BBDC4,BCO BRADESCO S.A.,16.54,-0.72,41830200.0,174496890578.0,https://icons.brapi.dev/icons/BBDC4.svg,Finance,Bancos Diversificados,stock,stock,AÇÃO B3,691871508.0
ITUB4,ITAU UNIBANCO HOLDING S.A.,39.0,1.8,39285900.0,438813067013.0,https://icons.brapi.dev/icons/ITUB4.svg,Finance,Bancos Diversificados,stock,stock,AÇÃO B3,1532150100.0
ROXO34,ROXO34,13.16,9.3,35210326.0,349914978569.9428,https://icons.brapi.dev/icons/BRAPI.svg,Finance,,bdr,bdr,AÇÃO GLOBAL / BDR,463367890.16
COGN3,COGNA EDUCAÇÃO S.A.,2.11,-3.65,34146600.0,4514114627.0,https://icons.brapi.dev/icons/COGN3.svg,Commercial Services,Serviços Educacionais,stock,stock,AÇÃO B3,72049326.0
PETR4,PETROLEO BRASILEIRO S.A. PETROBRAS,42.09,0.45,34089900.0,570317536822.0,https://icons.brapi.dev/icons/PETR4.svg,Energy Minerals,Petróleo e Gás Integrado,stock,stock,AÇÃO B3,1434843891.0
ABEV3,AMBEV S.A.,14.75,-1.14,33531400.0,235129730499.0,https://icons.brapi.dev/icons/ABEV3.svg,Consumer Non-Durables,Cervejas e Refrigerantes,stock,stock,AÇÃO B3,494588150.0
BEEF3,MINERVA S.A.,3.2,5.26,33512900.0,2984013791.0,https://icons.brapi.dev/icons/BEEF3.svg,Distribution Services,Carnes e Derivados,stock,stock,AÇÃO B3,107241280.0
ONCO3,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS  S.A.,0.77,8.45,28853200.0,795463106.0,https://icons.brapi.dev/icons/ONCO3.svg,Health Services,Serv.Méd.Hospit..Análises e Diagnósticos,stock,stock,AÇÃO B3,22216964.0
MGLU3,MAGAZINE LUIZA S.A.,3.91,-1.76,26532500.0,2805345670.0,https://icons.brapi.dev/icons/MGLU3.svg,Retail Trade,Varejo Especializado,stock,stock,AÇÃO B3,103742075.0
CSAN3,COSAN S.A.,3.31,-0.3,25992100.0,13142804951.0,https://icons.brapi.dev/icons/CSAN3.svg,Utilities,"Exploração, Refino e Distribuição",stock,stock,AÇÃO B3,86033851.0
LREN3,LOJAS RENNER S.A.,11.21,-2.61,25905800.0,11552424387.0,https://icons.brapi.dev/icons/LREN3.svg,Retail Trade,"Tecidos, Vestuário e Calçados",stock,stock,AÇÃO B3,290404018.0
CMIG4,CIA ENERGETICA DE MINAS GERAIS - CEMIG,10.23,-0.68,25674900.0,33621301641.0,https://icons.brapi.dev/icons/CMIG4.svg,Utilities,Energia Elétrica,stock,stock,AÇÃO B3,262654227.0
CPLE3,CIA PARANAENSE DE ENERGIA - COPEL,13.69,-0.8,25289400.0,40986981000.0,https://icons.brapi.dev/icons/CPLE3.svg,Utilities,Energia Elétrica,stock,stock,AÇÃO B3,346211886.0
ITSA4,ITAUSA S.A.,12.49,0.4,24775500.0,140318638863.0,https://icons.brapi.dev/icons/BRAPI.svg,Finance,,stock,stock,AÇÃO B3,309445995.0
HAPV3,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,6.73,4.99,23909100.0,3189039674.0,https://icons.brapi.dev/icons/HAPV3.svg,Health Services,Serviços Médicos Hospitalares,stock,stock,AÇÃO B3,160908243.0
VALE3,VALE S.A.,71.3,-0.83,22926600.0,299746157078.0,https://icons.brapi.dev/icons/VALE3.svg,Non-Energy Minerals,Mineração de Minerais Metálicos,stock,stock,AÇÃO B3,1634666580.0
GMAT3,GRUPO MATEUS S.A.,3.98,5.01,22345800.0,8730994043.0,https://icons.brapi.dev/icons/GMAT3.svg,Retail Trade,Alimentos,stock,stock,AÇÃO B3,88936284.0
EQTL3,EQUATORIAL S.A.,34.9,0.23,22085800.0,42846600442.0,https://icons.brapi.dev/icons/EQTL3.svg,Utilities,Energia Elétrica,stock,stock,AÇÃO B3,770794420.0
FNOR11,FNOR11,0.65,-5.8,20559000.0,,https://icons.brapi.dev/icons/BRAPI.svg,,,fund,etf,ETF,13363350.0
MRVE3,MRV ENGENHARIA E PARTICIPACOES S.A.,4.76,-0.83,20487900.0,2701605283.0,https://icons.brapi.dev/icons/MRVE3.svg,Consumer Durables,Incorporações,stock,stock,AÇÃO B3,97522404.0
LWSA3,LWSA S.A.,4.03,7.75,19488600.0,2125086312.9999998,https://icons.brapi.dev/icons/LWSA3.svg,Technology Services,Programas e Serviços,stock,stock,AÇÃO B3,78539058.0
POMO4,MARCOPOLO S.A.,4.11,-3.97,18578900.0,5204696756.0,https://icons.brapi.dev/icons/BRAPI.svg,Producer Manufacturing,,stock,stock,AÇÃO B3,76359279.0
CVCB3,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,1.34,4.69,17458700.0,672745766.0,https://icons.brapi.dev/icons/CVCB3.svg,Consumer Services,Viagens e Turismo,stock,stock,AÇÃO B3,23394658.0
BPAC11,BCO BTG PACTUAL S.A.,51.0,1.51,16689900.0,,https://icons.brapi.dev/icons/BPAC11.svg,Finance,Bancos,stock,unit,AÇÃO/UNIT B3,851184900.0
RAIZ4,RAIZEN S.A.,0.24,-4.0,16402800.0,2588127368.0,https://icons.brapi.dev/icons/RAIZ4.svg,Retail Trade,Açúcar e Álcool,stock,stock,AÇÃO B3,3936672.0
VAMO3,VAMOS LOCAÇÃO DE CAMINHÕES. MÁQUINAS E EQUIP. S.A.,2.8,-0.36,16082800.0,3385194102.0,https://icons.brapi.dev/icons/VAMO3.svg,Finance,Aluguel de Carros,stock,stock,AÇÃO B3,45031840.0
BRKM5,BRASKEM S.A.,4.93,-7.68,15792100.0,3775562536.0,https://icons.brapi.dev/icons/BRKM5.svg,Process Industries,Petroquímicos,stock,stock,AÇÃO B3,77855053.0
CSNA3,CIA SIDERURGICA NACIONAL,4.49,-1.54,15069300.0,6013201009.0,https://icons.brapi.dev/icons/CSNA3.svg,Non-Energy Minerals,Siderurgia,stock,stock,AÇÃO B3,67661157.0
ANIM3,ANIMA HOLDING S.A.,2.16,5.88,14855200.0,812759941.0,https://icons.brapi.dev/icons/ANIM3.svg,Consumer Services,Serviços Educacionais,stock,stock,AÇÃO B3,32087232.000000004
RAIL3,RUMO S.A.,13.67,0.89,14790000.0,25175255274.0,https://icons.brapi.dev/icons/RAIL3.svg,Transportation,Transporte Ferroviário,stock,stock,AÇÃO B3,202179300.0
