ticker,cnpj,sector,industry
ALOS3,05878397000132,Construção e Imobiliário,Exploração de Imóveis
ABEV3,07526557000100,Consumo Não Cíclico,Cervejas e Refrigerantes
ALLD3,20247322000147,Consumo Cíclico,Eletrodomésticos
ABCB4,28195667000106,Serviços Financeiros,Bancos
AMAR3,61189288000189,Consumo Cíclico,Tecidos. Vestuário e Calçados
AMER3,00776574000156,Consumo Cíclico,Produtos Diversos
ANIM3,09288252000132,Educação,Serviços Educacionais
AMBP3,12648266000124,Saneamento,Água e Saneamento
ARML3,00242184000104,Bens Industriais,Máq. e Equip. Industriais
ASAI3,06057223000171,Consumo Não Cíclico,Alimentos
AUAU3,53153938000108,Consumo Cíclico,Produtos Diversos
AURE3,28594234000123,Energia,Energia Elétrica
AZEV3,61351532000168,Construção e Imobiliário,Construção Pesada
AZZA3,16590234000176,Consumo Cíclico,"Tecidos, Vestuário e Calçados"
B3SA3,09346601000125,Serviços Financeiros,Dados Financeiros e Bolsas de Valores
BBAS3,00000000000191,Serviços Financeiros,Bancos Diversificados
BBDC3,60746948000112,Serviços Financeiros,Bancos
BBDC4,60746948000112,Serviços Financeiros,Bancos Diversificados
BBSE3,17344597000194,Serviços Financeiros,Seguradoras
BEEF3,67620377000114,Consumo Não Cíclico,Carnes e Derivados
BHIA3,33041260065290,Consumo Cíclico,Eletrodomésticos
BLAU3,58430828000160,Consumo Não Cíclico,Medicamentos e Outros Produtos
BMGB4,61186680000174,Serviços Financeiros,Bancos
BMOB3,09042817000105,Tecnologia,Programas e Serviços
BPAC11,30306294000145,Serviços Financeiros,Bancos
BRAV3,12091809000155,Energia,Exploração e Produção de Petróleo
BRBI11,10739356000103,Serviços Financeiros,Bancos
BRKM5,42150391000170,Materiais Básicos,Petroquímicos
CAML3,64904295000103,Consumo Não Cíclico,Alimentos Diversos
CASH3,14110585000107,Tecnologia,Programas e Serviços
CBAV3,61409892000173,Materiais Básicos,Minerais Metálicos
CEAB3,45242914000105,Consumo Cíclico,Tecidos. Vestuário e Calçados
CMIG4,17155730000164,Energia,Energia Elétrica
CMIN3,08902291000115,Materiais Básicos,Minerais Metálicos
COGN3,02800026000140,Educação,Serviços Educacionais
CPFE3,02429144000193,Energia,Energia Elétrica
CPLE3,76483817000120,Energia,Energia Elétrica
CSAN3,50746577000115,Energia,"Exploração, Refino e Distribuição"
CSED3,62984091000102,Educação,Serviços Educacionais
CSMG3,17281106000103,Saneamento,Água e Saneamento
