ticker,asset_class,global_opportunity_score,final_decision,week
TSMC34,AÇÃO GLOBAL / BDR,92.6478087954111,ESPERARIA,2026-08-03
VTRU3,AÇÃO B3,92.5125,ESPERARIA,2026-08-03
NVDC34,AÇÃO GLOBAL / BDR,92.00013129381772,ESPERARIA,2026-08-03
SEER3,AÇÃO B3,91.7946594068582,ESPERARIA,2026-08-03
A1MD34,AÇÃO GLOBAL / BDR,91.24533333333332,ESPERARIA,2026-08-03
MUTC34,AÇÃO GLOBAL / BDR,90.4916137667304,ESPERARIA,2026-08-03
MILS3,AÇÃO B3,90.41912650602409,ESPERARIA,2026-08-03
SPXR11,ETF,90.1968132568515,ESPERARIA,2026-08-03
RZLC11,FII,89.94845422956817,ESPERARIA,2026-08-03
ASML34,AÇÃO GLOBAL / BDR,89.88815041427661,ESPERARIA,2026-08-03
AZIN11,FI-INFRA,89.69949012109625,ESPERARIA,2026-08-03
BBSE3,AÇÃO B3,89.65101118760757,ESPERARIA,2026-08-03
ISEN11,ETF,89.50360299384647,ESPERARIA,2026-08-03
CAUT11,FIDC,89.41841937539834,ESPERARIA,2026-08-03
JPMC34,AÇÃO GLOBAL / BDR,89.29978457616318,ESPERARIA,2026-08-03
JHSF3,AÇÃO B3,88.79220521793054,ESPERARIA,2026-08-03
COCA34,AÇÃO GLOBAL / BDR,88.71429445506692,ESPERARIA,2026-08-03
KNUQ11,FII,88.5031747428605,ESPERARIA,2026-08-03
IVVB11,ETF,88.32976812918434,ESPERARIA,2026-08-03
CBAV3,AÇÃO B3,88.19682942295498,ESPERARIA,2026-08-03
KNCR11,FII,88.17791947006728,ESPERARIA,2026-08-03
D1EL34,AÇÃO GLOBAL / BDR,88.10256341618866,ESPERARIA,2026-08-03
GGBR4,AÇÃO B3,87.74915583386176,ESPERARIA,2026-08-03
PFIN11,FIP,87.74707881878054,ESPERARIA,2026-08-03
VGIR11,FII,87.73296852457791,ESPERARIA,2026-08-03
BINC11,ETF,87.60972548886895,ESPERARIA,2026-08-03
SNEL11,FII,87.31936979820847,ESPERARIA,2026-08-03
AAPL34,AÇÃO GLOBAL / BDR,87.16048438495856,ESPERARIA,2026-08-03
TAEE3,AÇÃO B3,86.93898224476854,ESPERARIA,2026-08-03
SPXU11,ETF,86.80606270833685,ESPERARIA,2026-08-03
KNHY11,FII,86.67804507308175,ESPERARIA,2026-08-03
TXSA34,AÇÃO GLOBAL / BDR,86.52430975143403,ESPERARIA,2026-08-03
AFHF11,FII,86.32140984716966,ESPERARIA,2026-08-03
WRLD11,ETF,86.15593721269958,ESPERARIA,2026-08-03
PETR4,AÇÃO B3,86.09213102409637,ESPERARIA,2026-08-03
RZAT11,FII,86.00993997189266,ESPERARIA,2026-08-03
CPTR11,FIAGRO,85.99077386459426,ESPERARIA,2026-08-03
A1MT34,AÇÃO GLOBAL / BDR,85.91617335882728,ESPERARIA,2026-08-03
PORD11,FII,85.68243664514614,ESPERARIA,2026-08-03
LOGG3,AÇÃO B3,85.65022368887314,ESPERARIA,2026-08-03
IFRI11,ETF,85.40052172343582,ESPERARIA,2026-08-03
