ticker,cnpj,reason
ITSA4,,sem DFP/CNPJ match
RCSL4,,sem DFP/CNPJ match
AXIA3,,sem DFP/CNPJ match
POMO4,,sem DFP/CNPJ match
ALPA4,,sem DFP/CNPJ match
EMBJ3,,sem DFP/CNPJ match
TUPY3,84683374000300,sem DFP/CNPJ match
AZEV4,,sem DFP/CNPJ match
SAUD3,,sem DFP/CNPJ match
MBRF3,,sem DFP/CNPJ match
BRAP4,,sem DFP/CNPJ match
KLBN4,,sem DFP/CNPJ match
RIAA3,,sem DFP/CNPJ match
RAPT4,,sem DFP/CNPJ match
BRSR6,,sem DFP/CNPJ match
AXIA7,,sem DFP/CNPJ match
FESA4,,sem DFP/CNPJ match
AMBP3,12648266000124,sem DFP/CNPJ match
ALUP11,,sem DFP/CNPJ match
PINE4,,sem DFP/CNPJ match
SAPR4,,sem DFP/CNPJ match
SHUL4,,sem DFP/CNPJ match
AZTE3,,sem DFP/CNPJ match
SAPR11,,sem DFP/CNPJ match
SANB4,,sem DFP/CNPJ match
ONCO11,,sem DFP/CNPJ match
TAEE4,,sem DFP/CNPJ match
SEQL3,,sem DFP/CNPJ match
BBAS3F,,sem DFP/CNPJ match
CYRE4,,sem DFP/CNPJ match
UNIP6,,sem DFP/CNPJ match
OIBR3,76535764000143,sem DFP/CNPJ match
CMIG4F,,sem DFP/CNPJ match
OBTC3,,sem DFP/CNPJ match
PETR4F,,sem DFP/CNPJ match
BBSE3F,,sem DFP/CNPJ match
BBDC3F,,sem DFP/CNPJ match
ITSA4F,,sem DFP/CNPJ match
ITUB4F,,sem DFP/CNPJ match
TASA4,,sem DFP/CNPJ match
BRBI11F,,sem DFP/CNPJ match
LREN3F,,sem DFP/CNPJ match
BBDC4F,,sem DFP/CNPJ match
RENT4,,sem DFP/CNPJ match
KLBN4F,,sem DFP/CNPJ match
TOKY3,,sem DFP/CNPJ match
SAPR4F,,sem DFP/CNPJ match
CXSE3F,,sem DFP/CNPJ match
POMO4F,,sem DFP/CNPJ match
AZUL3,,sem DFP/CNPJ match
VALE3F,,sem DFP/CNPJ match
TIMS3F,,sem DFP/CNPJ match
FLRY3F,,sem DFP/CNPJ match
TAEE11F,,sem DFP/CNPJ match
EGIE3F,,sem DFP/CNPJ match
GRND3F,,sem DFP/CNPJ match
EUCA4,,sem DFP/CNPJ match
BSLI3,00000208000100,sem DFP/CNPJ match
MGLU3F,,sem DFP/CNPJ match
ALOS3F,,sem DFP/CNPJ match
POMO3F,,sem DFP/CNPJ match
PSSA3F,,sem DFP/CNPJ match
RNEW4,,sem DFP/CNPJ match
RAIZ4F,,sem DFP/CNPJ match
BRSR6F,,sem DFP/CNPJ match
TAEE4F,,sem DFP/CNPJ match
ISAE4F,,sem DFP/CNPJ match
B3SA3F,,sem DFP/CNPJ match
AXIA3F,,sem DFP/CNPJ match
SBSP3F,,sem DFP/CNPJ match
CPLE3F,,sem DFP/CNPJ match
INEP4,,sem DFP/CNPJ match
AGXY3,21240146000184,sem DFP/CNPJ match
VIVT3F,,sem DFP/CNPJ match
WEGE3F,,sem DFP/CNPJ match
BMGB4F,,sem DFP/CNPJ match
CPFE3F,,sem DFP/CNPJ match
AZZA3F,,sem DFP/CNPJ match
PRIO3F,,sem DFP/CNPJ match
BMEB4,,sem DFP/CNPJ match
TAEE3F,,sem DFP/CNPJ match
KLBN11F,,sem DFP/CNPJ match
CMIN3F,,sem DFP/CNPJ match
AURE3F,,sem DFP/CNPJ match
WIZC3F,,sem DFP/CNPJ match
BPAC11F,,sem DFP/CNPJ match
RPMG3,33412081000196,sem DFP/CNPJ match
BSLI4,,sem DFP/CNPJ match
EMBJ3F,,sem DFP/CNPJ match
ABCB4F,,sem DFP/CNPJ match
RECV3F,,sem DFP/CNPJ match
KLBN3F,,sem DFP/CNPJ match
EQTL3F,,sem DFP/CNPJ match
CSAN3F,,sem DFP/CNPJ match
CSNA3F,,sem DFP/CNPJ match
FESA4F,,sem DFP/CNPJ match
JHSF3F,,sem DFP/CNPJ match
