feature,gain,split
vol_63,43.805933237075806,50
ibov_ret_126,25.38444897532463,34
ibov_ret_63,19.915224879980087,24
ibov_vol_20,16.53199003636837,22
ret_63,16.51474191248417,17
price_ma_200,13.996942937374115,14
ibov_ret_21,12.731193959712982,24
ret_252,12.285256087779999,18
price_ma_50,12.06347605586052,14
rel_ret_126,11.527546986937523,15
volume_ratio_20_60,9.940658956766129,11
vol_20,8.514767080545425,11
rel_ret_63,8.225088030099869,10
ret_126,6.220151960849762,14
drawdown_63,4.764859080314636,5
rsi_14,3.8876670598983765,5
price_ma_20,3.4270619451999664,5
ret_21,1.936689019203186,5
ret_5,0.6640480160713196,2
rel_ret_21,0.0,0
