horizon,feature,gain
5,ret_5,42.62743846575419
5,ret_63,41.10445592800776
5,drawdown_63,36.78388341267904
5,rel_ret_126,36.500280479590096
5,rel_ret_63,35.30480119585991
5,ret_126,30.105296452840168
5,ibov_vol_20,29.77833502491315
5,sector_Basic Materials,25.46169392267863
5,vol_20,23.405236333608627
5,vol_63,23.1790256301562
5,rel_ret_252,21.11166004339854
5,ibov_ma200,20.508635580539703
5,rsi_14,18.501255464740098
5,ibov_ret_252,16.55075256029765
5,price_ma_200,13.873939990997314
5,price_ma_50,10.714516053597132
5,rel_ret_21,7.723190188407898
5,volume_ratio_20_60,7.554668605327606
5,ret_252,7.0692267417907715
5,ret_21,5.768161793549855
5,ibov_ret_126,5.342491288979848
5,price_ma_20,3.5537306467692056
5,sector_Consumer Cyclical,1.5472999413808186
5,sector_Utilities,1.2182933489481609
5,breadth_ma200,0.0
5,breadth_pos63,0.0
5,ewz_ret_21,0.0
5,ewz_ret_63,0.0
5,gold_ret_21,0.0
5,gold_ret_63,0.0
5,ibov_ret_21,0.0
5,ibov_ret_63,0.0
5,oil_ret_21,0.0
5,oil_ret_63,0.0
5,sector_Communication Services,0.0
5,sector_Consumer Defensive,0.0
5,sector_Energy,0.0
5,sector_Financial Services,0.0
5,sector_Healthcare,0.0
5,sector_Industrials,0.0
5,sector_Real Estate,0.0
5,sector_Technology,0.0
5,spx_ret_21,0.0
5,spx_ret_63,0.0
5,usd_ret_21,0.0
5,usd_ret_63,0.0
5,vix_level,0.0
5,vix_ret_21,0.0
5,vix_ret_63,0.0
20,rel_ret_252,133.43251087268195
20,price_ma_200,103.56031982103984
20,vol_63,85.13787339131038
20,ret_63,83.69800627231598
20,ibov_ma200,64.07493070761363
20,drawdown_63,64.04323649406433
20,ret_126,41.26383433739344
20,ibov_vol_20,34.992205123106636
20,price_ma_20,32.54239332675934
20,vol_20,26.74399447441101
20,volume_ratio_20_60,26.68077019850413
20,rel_ret_63,25.597279866536457
20,ret_252,22.257283131281536
20,ibov_ret_126,20.21426022052765
20,sector_Basic Materials,20.124746878941853
20,ibov_ret_252,16.019126812616985
20,sector_Consumer Cyclical,14.563682993253073
20,ret_21,14.378549734751383
20,sector_Industrials,10.861349999904633
20,rel_ret_21,10.78834327061971
20,rel_ret_126,10.775786797205607
20,price_ma_50,10.53305991490682
20,sector_Financial Services,9.428773403167725
20,sector_Consumer Defensive,9.184040069580078
20,rsi_14,9.06671679019928
20,ret_5,8.695310115814209
20,sector_Utilities,2.9310499827067056
20,sector_Real Estate,2.082576592763265
20,breadth_ma200,0.0
20,breadth_pos63,0.0
20,ewz_ret_21,0.0
20,ewz_ret_63,0.0
20,gold_ret_21,0.0
20,gold_ret_63,0.0
20,ibov_ret_21,0.0
20,ibov_ret_63,0.0
20,oil_ret_21,0.0
20,oil_ret_63,0.0
20,sector_Communication Services,0.0
20,sector_Energy,0.0
20,sector_Healthcare,0.0
20,sector_Technology,0.0
20,spx_ret_21,0.0
20,spx_ret_63,0.0
20,usd_ret_21,0.0
20,usd_ret_63,0.0
20,vix_level,0.0
20,vix_ret_21,0.0
20,vix_ret_63,0.0
60,vol_63,270.87058544158936
60,rel_ret_252,100.3158608476321
60,drawdown_63,61.89121397336324
60,ibov_ma200,52.427839597066246
60,ibov_ret_126,49.38246170679728
60,ibov_ret_252,41.2168337504069
60,ret_126,37.329036911328636
60,price_ma_50,37.11037387450536
60,rel_ret_63,24.579809313019116
60,price_ma_200,21.243133584658306
60,ret_252,19.0165798664093
60,sector_Real Estate,14.199203173319498
60,sector_Financial Services,14.070689876874289
60,sector_Industrials,13.004016399383545
60,volume_ratio_20_60,12.542817652225494
60,rel_ret_126,11.614576657613119
60,vol_20,10.321463346481323
60,rel_ret_21,8.790466467539469
60,ret_63,8.664830048878988
60,ibov_vol_20,6.99798043568929
60,sector_Consumer Cyclical,5.96437668800354
60,sector_Healthcare,4.550066630045573
60,sector_Basic Materials,4.209550062815349
60,sector_Consumer Defensive,1.6934833526611328
60,ret_21,1.449073314666748
60,rsi_14,1.058073361714681
60,breadth_ma200,0.0
60,breadth_pos63,0.0
60,ewz_ret_21,0.0
60,ewz_ret_63,0.0
60,gold_ret_21,0.0
60,gold_ret_63,0.0
60,ibov_ret_21,0.0
60,ibov_ret_63,0.0
60,oil_ret_21,0.0
60,oil_ret_63,0.0
60,price_ma_20,0.0
60,ret_5,0.0
60,sector_Communication Services,0.0
60,sector_Energy,0.0
60,sector_Technology,0.0
60,sector_Utilities,0.0
60,spx_ret_21,0.0
60,spx_ret_63,0.0
60,usd_ret_21,0.0
60,usd_ret_63,0.0
60,vix_level,0.0
60,vix_ret_21,0.0
60,vix_ret_63,0.0
