ticker,cnpj,company_name,sector,industry,market_cap,revenue,operating_income,net_income,equity,total_cash,total_debt,roe,operating_margin,profit_margin,debt_to_equity,revenue_growth,earnings_growth,earnings_yield,book_to_price,sales_yield,ev_to_ebit,raw_pe,raw_pb,raw_ev_ebitda,enterprise_value,ebitda,fcf,beta,trailing_eps,book_value_per_share,fundamental_source,price,avg_daily_volume_brl,pe,pb,ev_ebitda,fcf_yield,fcf_margin,debt_to_ebitda,ret_3m,ret_6m,ret_12m,price_to_ma50,price_to_ma200,volatility,max_drawdown,history_days,last_price_date,model_group,__quality_roe,__quality_operating_margin,__quality_profit_margin,__quality_debt_to_equity,quality_score,quality_coverage,__growth_revenue_growth,__growth_earnings_growth,growth_score,growth_coverage,__valuation_earnings_yield,__valuation_book_to_price,__valuation_sales_yield,__valuation_ev_to_ebit,valuation_score,valuation_coverage,__momentum_ret_3m,__momentum_ret_6m,__momentum_ret_12m,__momentum_price_to_ma50,__momentum_price_to_ma200,momentum_score,momentum_coverage,__risk_volatility,__risk_max_drawdown,risk_score,risk_coverage,__weighted_quality,__weighted_growth,__weighted_valuation,__weighted_momentum,__weighted_risk,score,data_coverage,has_quality,has_valuation,has_momentum,n_components,data_quality,signal,entry_watch_low,entry_watch_high,max_position_pct,in_portfolio,action
VTRU3,,Vitru Educação S.A.,Consumer Defensive,Education & Training Services,2070765824.0,2292422912.0,734963968.0,1114866048.0,4537763175.132,989596032.0,2818420992.0,0.35219002,0.29665002,0.48633,0.62110358853578,0.061,15.147,0.6058221691414301,2.1913453385603345,1.1070411175570956,4.799621240751764,1.6506494,0.45634067,4.8,3527548672.0,734963968.0,253856256.0,0.425,7.7,27.852,Yahoo Finance,12.710000038146973,7029477.354431151,1.650649355603503,0.45634065913209004,4.799621240751764,0.1225905184728411,0.11073709596565051,2.4883192096840316,-0.06886444004783887,-0.23568321223842714,,0.9828180811198518,0.9299705502881667,0.39191327208144133,-0.2882058453173313,251,2026-08-07 00:00:00+00:00,general,93.33333333333333,100.0,100.0,66.66666666666667,90.0,1.0,73.33333333333333,100.0,86.66666666666666,1.0,100.0,80.0,13.333333333333334,60.0,63.333333333333336,1.0,80.0,60.0,,80.0,73.33333333333333,73.33333333333333,0.8,73.33333333333333,86.66666666666667,80.0,1.0,22.5,17.333333333333332,12.666666666666668,14.666666666666666,12.0,79.16666666666667,0.96,True,True,True,5,OK,WATCHLIST,12.206716246335464,12.710000038146973,5.0,False,AGUARDAR
SEER3,,Ser Educacional S.A.,Consumer Defensive,Education & Training Services,1539046528.0,2260304896.0,610540032.0,246706000.0,1418432326.6599998,527616992.0,1637784960.0,0.18484,0.23247999,0.10915,1.154644412156421,0.081,0.726,0.6056572016578049,0.9216306152418904,1.4686397421248072,4.337602655348896,1.651099,1.0850334,4.338,2648280064.0,610540032.0,337627488.0,0.173,7.28,11.078,Yahoo Finance,12.020000457763672,8374174.05225118,1.6510989639785263,1.0850334408524709,4.337602655348896,0.2193744515565419,0.14937254199532557,1.8183377171245014,-0.05055287498911487,0.0488345837663644,,1.0409630562147887,1.0844970783227947,0.5108188028584839,-0.2502187799422342,251,2026-08-07 00:00:00+00:00,general,86.66666666666667,73.33333333333333,86.66666666666667,60.0,76.66666666666667,1.0,86.66666666666667,84.61538461538461,85.64102564102564,1.0,93.33333333333333,40.0,26.666666666666668,86.66666666666667,61.66666666666666,1.0,86.66666666666667,100.0,,93.33333333333333,100.0,95.0,0.8,13.333333333333329,93.33333333333333,53.33333333333333,1.0,19.166666666666668,17.128205128205128,12.333333333333332,19.0,7.999999999999999,75.62820512820512,0.96,True,True,True,5,OK,WATCHLIST,11.399633325322556,12.020000457763672,5.0,False,AGUARDAR
MILS3,,"Mills Locação, Serviços e Logística S.A.",Industrials,Rental & Leasing Services,3554190848.0,1908754048.0,955825024.0,449044992.0,1885999429.998,642121024.0,1862545024.0,0.26255,0.43065,0.23526,0.987563937918038,0.049,0.213,0.1153846109467457,0.530640988312473,0.5370432060715272,4.99872311357272,8.666667,1.8845133,4.999,4777904640.0,955825024.0,537975360.0,0.012,1.8,8.278,Yahoo Finance,15.600000381469727,17014270.416053135,8.666666878594292,1.8845132135141007,4.99872311357272,0.15136366700812573,0.28184634922644575,1.27682783915061,0.21590027078998864,0.13555242627021546,,1.0122639905457689,1.170178242571913,0.2769816362287473,-0.15025577302473347,251,2026-08-07 00:00:00+00:00,general,88.88888888888889,100.0,96.29629629629629,70.37037037037038,88.88888888888889,1.0,44.44444444444444,55.55555555555556,50.0,1.0,70.37037037037037,33.33333333333333,18.51851851851852,70.37037037037038,48.14814814814815,1.0,96.29629629629629,88.88888888888889,,66.66666666666666,100.0,87.96296296296296,0.8,92.5925925925926,96.29629629629629,94.44444444444444,1.0,22.22222222222222,10.0,9.629629629629632,17.59259259259259,14.166666666666666,73.61111111111111,0.96,True,True,True,5,OK,WATCHLIST,15.163431268086528,15.600000381469727,5.0,False,AGUARDAR
BBSE3,,BB Seguridade Participações S.A.,Financial Services,Insurance - Diversified,74505117696.0,10450822144.0,9979697152.0,9189316608.0,10890404331.84,6470633984.0,0.0,0.85944,0.964,0.87929,0.0,-0.009,-0.001,0.1232412700505843,0.1461698742427487,0.140269856181451,6.817289666787676,8.114165,6.841355,6.817,68034486272.0,9979697152.0,5830927872.0,0.08,4.73,5.61,Yahoo Finance,38.380001068115234,233394223.66202673,8.114165130679753,6.841354914102537,6.817289666787676,0.07826211208459105,0.5579396330409888,-0.6483797940404675,0.17588703260618543,0.1661865842990522,,1.0282910143268797,1.1542645840463448,0.18181274418659094,-0.07641909086778387,251,2026-08-07 00:00:00+00:00,financial,100.0,,,,100.0,1.0,,30.0,30.0,1.0,66.66666666666666,4.761904761904762,,,35.71428571428571,1.0,100.0,100.0,,85.71428571428571,100.0,96.42857142857143,0.8,95.23809523809524,100.0,97.61904761904762,1.0,25.0,6.0,7.142857142857142,19.28571428571429,14.642857142857142,72.07142857142857,0.96,True,True,True,5,OK,WATCHLIST,37.67497248293896,38.380001068115234,5.0,False,AGUARDAR
CBAV3,,Companhia Brasileira de Alumínio,Basic Materials,Aluminum,7239928320.0,9321967616.0,1491926016.0,597929984.0,4630429021.064,1810013952.0,4716751872.0,0.14575,0.16893,0.06414,1.0186425168258306,0.281,,0.0827338165208841,0.6395683680997368,1.2875773355722948,6.953330876160551,12.086956,1.5635545,6.953,10373855232.0,1491926016.0,598254848.0,1.013,0.92,7.112,Yahoo Finance,11.119999885559082,29408581.830676395,12.086956397346828,1.5635545395892971,6.953330876160551,0.08263270319228797,0.06417688546494946,1.9483123752967655,0.04511273747632516,0.09262242914078356,,1.0274415516025808,1.2152019660589033,0.3864579426276242,-0.22615803814713897,251,2026-08-07 00:00:00+00:00,general,78.94736842105263,78.94736842105263,78.94736842105263,57.89473684210527,73.6842105263158,1.0,94.73684210526315,,94.73684210526315,0.5,84.21052631578947,31.57894736842105,47.368421052631575,31.578947368421055,48.68421052631578,1.0,68.42105263157895,84.21052631578947,,63.1578947368421,100.0,78.94736842105263,0.8,26.31578947368422,89.47368421052632,57.89473684210527,1.0,18.42105263157895,18.94736842105263,9.736842105263158,15.789473684210527,8.68421052631579,71.57894736842105,0.86,True,True,True,5,OK,WATCHLIST,10.68580526186367,11.119999885559082,5.0,False,AGUARDAR
JHSF3,,JHSF Participações S.A.,Real Estate,Real Estate - Development,7193823744.0,3613516032.0,1770343040.0,1915403008.0,7061815156.352,4242999040.0,5553900032.0,0.27879998,0.40752,0.53007,0.7864691880251705,0.333,0.052,0.29286378521698,0.9816497271553666,0.5023081132636658,5.029856179737911,3.4145567,1.0186933,5.03,8904570880.0,1770343040.0,1808874752.0,0.477,3.16,10.592,Yahoo Finance,10.789999961853027,46991420.9338665,3.4145569499534894,1.018693349872831,5.029856179737911,0.2514483001489562,0.5005857829275573,0.7404785187846984,-0.02621401622280206,0.18340510138368038,,0.9928790239206854,1.1539526158689977,0.3855604003623669,-0.2793894242963958,251,2026-08-07 00:00:00+00:00,general,76.47058823529412,76.47058823529412,94.11764705882352,35.294117647058826,70.58823529411765,1.0,88.23529411764706,46.875,67.55514705882354,1.0,94.11764705882352,52.94117647058824,29.411764705882355,88.23529411764706,66.17647058823529,1.0,76.47058823529412,94.11764705882352,,82.35294117647058,94.11764705882352,86.76470588235293,0.8,35.294117647058826,76.47058823529412,55.88235294117647,1.0,17.647058823529413,13.511029411764708,13.235294117647058,17.352941176470587,8.382352941176471,70.12867647058823,0.96,True,True,True,5,OK,WATCHLIST,10.36966909151775,10.789999961853027,5.0,False,AGUARDAR
TAEE3,,Transmissora Aliança de Energia Elétrica S.A.,Utilities,Utilities - Regulated Electric,13466462208.0,4678574080.0,2324641024.0,1568348032.0,13647857850.176,1603660032.0,11855298560.0,0.20559,0.58442,0.33521998,0.8686563627893529,0.055,-0.032,0.1166538677931386,1.7731389311092969,0.3474241421195692,6.340961622812693,8.572369,0.5639716,6.341,14740459520.0,2324641024.0,851601280.0,-0.004,1.52,23.104,Yahoo Finance,13.029999732971191,1301132.34000206,8.572368245375785,0.5639715950905121,6.340961622812693,0.0632386789378201,0.18202154447878274,4.409987788290877,-0.030770448729621758,-0.013721333250848344,,0.9840794931191326,0.9801410022188765,0.22113033909466576,-0.11971927346531264,251,2026-08-07 00:00:00+00:00,general,73.68421052631578,94.73684210526315,94.73684210526315,73.6842105263158,84.21052631578947,1.0,21.052631578947366,50.0,35.526315789473685,1.0,78.94736842105263,89.47368421052632,26.31578947368421,73.6842105263158,67.10526315789474,1.0,84.21052631578947,78.94736842105263,,57.89473684210527,73.68421052631578,73.68421052631578,0.8,78.94736842105263,100.0,89.47368421052632,1.0,21.052631578947366,7.105263157894737,13.421052631578949,14.736842105263158,13.421052631578947,69.73684210526316,0.96,True,True,True,5,OK,NEUTRO,12.738880994892758,13.029999732971191,5.0,False,AGUARDAR
TGMA3,,Tegma Gestão Logística S.A.,Industrials,Trucking,2207596544.0,2505925888.0,368824992.0,254011008.0,994143788.444,196923008.0,224258000.0,0.25561002,0.15384,0.10135999,0.2255790385724795,0.369,0.235,0.1078255585175236,0.4503285777434647,1.1351376205089765,6.059599431917022,9.274239,2.2206008,6.06,2234931712.0,368824992.0,82055128.0,0.156,3.61,15.077,Yahoo Finance,33.47999954223633,6849170.906352997,9.274238100342474,2.2206008849397314,6.059599431917022,0.037169440323240516,0.03274443525761605,0.0741137194954511,0.12937072183128162,-0.11236838238127422,,1.1221557717962736,1.0196495346151724,0.3130934035537884,-0.3191699758835863,251,2026-08-07 00:00:00+00:00,general,85.18518518518519,55.55555555555556,66.66666666666666,92.5925925925926,75.0,1.0,92.5925925925926,72.22222222222221,82.4074074074074,1.0,62.96296296296296,14.814814814814813,48.148148148148145,44.44444444444444,42.592592592592595,1.0,92.5925925925926,62.96296296296296,,92.5925925925926,74.07407407407408,80.55555555555556,0.8,70.37037037037038,59.25925925925925,64.81481481481481,1.0,18.75,16.48148148148148,8.518518518518519,16.11111111111111,9.722222222222221,69.58333333333334,0.96,True,True,True,5,OK,NEUTRO,32.420899994853556,33.47999954223633,5.0,False,AGUARDAR
GGBR4,,Gerdau S.A.,Basic Materials,Steel,49176797184.0,69543739392.0,9993178112.0,2237081088.0,33424766912.04,5449220096.0,15170434048.0,0.041810002,0.12746,0.03217,0.453868058015849,0.02,0.735,0.0459081850988642,1.0707385569099686,1.4141575575122352,5.912942184533336,21.782608,0.9339348,5.913,59089084416.0,9993178112.0,2647796480.0,0.907,1.15,26.822,Yahoo Finance,25.049999237060547,236712389.29052988,21.782608032226562,0.9339348011729381,5.912942184533336,0.053842393803992555,0.038073829551716495,0.972785018244254,0.06512378216752057,0.1329494498600916,,1.0754857639096798,1.1854933026972936,0.26466332630331085,-0.2632639720037959,251,2026-08-07 00:00:00+00:00,general,52.63157894736842,63.1578947368421,57.89473684210527,84.21052631578948,64.47368421052632,1.0,60.526315789473685,73.33333333333333,66.9298245614035,1.0,63.1578947368421,47.368421052631575,52.63157894736842,57.89473684210527,55.263157894736835,1.0,89.47368421052632,100.0,,89.47368421052632,89.47368421052632,92.10526315789473,0.8,73.6842105263158,63.1578947368421,68.42105263157895,1.0,16.11842105263158,13.385964912280702,11.052631578947368,18.421052631578945,10.26315789473684,69.24122807017544,0.96,True,True,True,5,OK,NEUTRO,24.380147165587964,25.049999237060547,5.0,False,AGUARDAR
SAUD3,,Bradsaúde S.A.,Healthcare,Healthcare Plans,41484001280.0,10038615040.0,1138259968.0,1053996032.0,6875995868.112,13191663616.0,0.0,0.10538,0.056810003,0.10499,0.0,11.89,3.308,0.0732910487956411,0.1657505358300447,0.2419876272841538,-4.792728291749956,13.644231,6.033163,-4.793,-5455370752.0,1138259968.0,-725550528.0,,1.04,2.352,Yahoo Finance,14.1899995803833,67265020.56088607,13.644230365753174,6.0331630868976625,-4.792728291749956,-0.01748988780283829,-0.07227595889562073,-11.589324044469954,-0.01053668898806015,0.19498005822431508,,0.9974221338552408,1.0891117799754462,0.35227380937048847,-0.21240602983240575,251,2026-08-07 00:00:00+00:00,general,33.33333333333333,33.33333333333333,77.77777777777779,88.88888888888889,58.333333333333336,1.0,100.0,100.0,100.0,1.0,66.66666666666666,11.11111111111111,11.11111111111111,88.88888888888889,44.44444444444444,1.0,88.88888888888889,100.0,,44.44444444444444,88.88888888888889,80.55555555555554,0.8,33.33333333333334,88.88888888888889,61.111111111111114,1.0,14.583333333333334,20.0,8.88888888888889,16.11111111111111,9.166666666666666,68.75000000000001,0.96,True,True,True,5,OK,NEUTRO,13.684942853739916,14.1899995803833,5.0,False,AGUARDAR
