fast_ma,slow_ma,momentum_days,train_sharpe,train_cagr,train_max_drawdown,test_sharpe,test_cagr,test_max_drawdown,test_total_return
20,200,252,0.027719096363014728,-0.0002469632725572435,-0.0885940073187913,0.5230146314974566,0.05084480694274984,-0.10594554283258595,0.08980961925100472
50,200,252,-0.0005924103429380691,-0.001946707857729879,-0.082158099732207,0.5396301035240078,0.05330000865104956,-0.10951181688186318,0.09422890767818282
20,150,252,-0.03791754276300633,-0.0041094798017190515,-0.08360711927877995,0.539854909426543,0.05062781051403964,-0.10540607773013022,0.08941939647262331
20,100,252,-0.11854240245845356,-0.008406729717649553,-0.08275657691024352,0.485896915824517,0.0424469774100642,-0.11394727868402799,0.0747510652286143
50,150,252,-0.12755480803718988,-0.009371593383619148,-0.07903715450363158,0.6232392602407044,0.060583587463453714,-0.09552419200471152,0.10738364238398446
50,100,252,-0.1286371001332581,-0.008906239906399493,-0.08323194137747147,0.6244158275764589,0.05776091085512847,-0.09524370281662486,0.10227776189388993
20,200,63,-0.17264431288336965,-0.013625709832954969,-0.10900553308080796,0.828447455606257,0.07584945403498256,-0.08991164431971232,0.13517061259165208
20,200,126,-0.235007905155659,-0.019832003383578822,-0.11193259596155514,0.5351227224203724,0.05406046838699896,-0.10544310053284867,0.09559924752817373
20,100,63,-0.24245176463699586,-0.023619892328071046,-0.12289158495184138,0.8979154730349947,0.09054172385950099,-0.09705450509461166,0.1621883142166336
50,200,126,-0.27894584939988737,-0.02275608661536699,-0.12848003757415438,0.46398446362798534,0.04527738776829371,-0.10743974324664052,0.07981649997369478
20,150,63,-0.2871631547170341,-0.023451171072608745,-0.12209829258030402,0.8439591381406282,0.08055530651919995,-0.09208316081123524,0.143794941292811
20,150,126,-0.32897671815227963,-0.027216386084981226,-0.12236485712274137,0.5386550698524987,0.05436102393965947,-0.10351291172607069,0.09614104541060886
50,100,63,-0.3820891664540726,-0.03154472509925321,-0.13519292770977742,0.901178261477294,0.08692345560673953,-0.09064182739000792,0.1555096980410018
50,200,63,-0.4143170275396418,-0.025634350369761694,-0.10280507815111439,0.7442215660118828,0.06362770703733567,-0.08934790870382914,0.11290127782699888
20,100,126,-0.41558745497491645,-0.030472816724793295,-0.13077397767129217,0.4966605010213552,0.04607065758002471,-0.11072896875822891,0.08123798137822136
50,150,126,-0.4224589867247917,-0.03449237785230197,-0.13305942031321694,0.5716551751557414,0.05822881576218775,-0.09699633116302153,0.10312345450615479
50,150,63,-0.45663566088354196,-0.03135710976521411,-0.1212843478275375,0.8565847392678743,0.07681598225348751,-0.08468083788746905,0.1369396957580844
50,100,126,-0.5328982886416387,-0.03888497850733952,-0.14291738600616144,0.6490042856392542,0.0637005487242881,-0.09507741927503188,0.11303344962790485
